arr_port^pax^Airport_Name
LHR     ^88809.0^London Heathrow Airport
MCO     ^70930.0^Orlando International Airport
LAX     ^70530.0^Los Angeles International Airport
LAS     ^69630.0^McCarran International Airport
JFK     ^66270.0^John F. Kennedy International Airport
CDG     ^64490.0^Paris Charles de Gaulle Airport
BKK     ^59460.0^Suvarnabhumi Airport
MIA     ^58150.0^Miami International Airport
SFO     ^58000.0^San Francisco International Airport
DXB     ^55590.0^Dubai International Airport
ORD     ^53200.0^Chicago O'Hare International Airport
FCO     ^45120.0^Leonardo da Vinci–Fiumicino Airport
IST     ^43850.0^Istanbul Atatürk Airport
DFW     ^42420.0^Dallas/Fort Worth International Airport
CUN     ^42000.0^Cancún International Airport
MAD     ^41410.0^Adolfo Suárez Madrid–Barajas Airport
BCN     ^41200.0^Barcelona–El Prat Airport
LGA     ^40712.0^La Guardia Airport
ATL     ^39780.0^Hartsfield-Jackson Atlanta International Airport
EWR     ^36890.0^Newark Liberty International Airport
BOS     ^35840.0^Logan International Airport
DEL     ^35680.0^Indira Gandhi International Airport
SYD     ^33690.0^Sydney International Airport
BOM     ^33440.0^Chhatrapati Shivaji Maharaj International Airport
MUC     ^33180.0^Munich International Airport
DEN     ^32630.0^Denver International Airport
MNL     ^32400.0^Ninoy Aquino Manila International Airport
HKG     ^32020.0^Hong Kong International Airport
FRA     ^31970.0^Frankfurt Airport
ORY     ^31800.0^Paris Orly Airport
SEA     ^31530.0^Seattle-Tacoma International Airport
FLL     ^31170.0^Fort Lauderdale/Hollywood International Airport
TXL     ^30590.0^Berlin Tegel Airport
AMS     ^30580.0^Amsterdam Airport Schiphol
PHX     ^29730.0^Phoenix Sky Harbor International Airport
DCA     ^29000.0^Ronald Reagan Washington National Airport
MEX     ^28120.0^Benito Juárez International Airport
IAH     ^28090.0^George Bush Intercontinental Airport
JED     ^27090.0^Jeddah King Abdul Aziz International Airport
PVG     ^26630.0^Shanghai Pudong International Airport
YYZ     ^26070.0^Toronto Pearson International Airport
VIE     ^25750.0^Vienna International Airport
LIS     ^25050.0^Lisbon Humberto Delgado Airport
SIN     ^24874.0^Singapore Changi Airport
CAI     ^24640.0^Cairo International Airport
HNL     ^24140.0^Daniel K. Inouye International Airport
ATH     ^24100.0^Athens Eleftherios Venizelos International Airport
MEL     ^23830.0^Melbourne Airport
SAN     ^23720.0^San Diego International Airport
JNB     ^23710.0^O.R. Tambo International Airport
PEK     ^23680.0^Beijing Capital International Airport
BOG     ^23090.0^El Dorado International Airport
PHL     ^22210.0^Philadelphia International Airport
ARN     ^21800.0^Stockholm Arlanda Airport
TPA     ^21530.0^Tampa International Airport
SVO     ^21292.0^Sheremetyevo International Airport
BRU     ^20940.0^Brussels Airport
ZRH     ^20190.0^Zurich Airport
TLV     ^20190.0^Ben Gurion Airport
LIM     ^20150.0^Jorge Chávez International Airport
MSP     ^20030.0^Minneapolis-St Paul International Airport
CPH     ^19740.0^Copenhagen Airport
BNE     ^19480.0^Brisbane Airport
RUH     ^19440.0^King Khalid International
IAD     ^19170.0^Washington Dulles International Airport
ICN     ^18560.0^Incheon International Airport
DUS     ^18250.0^Düsseldorf International Airport
KUL     ^18200.0^Kuala Lumpur International Airport
DTW     ^17800.0^Detroit Metropolitan Wayne County Airport
OSL     ^17000.0^Oslo Airport, Gardermoen
MXP     ^16950.0^Milano Malpensa Airport
CLT     ^16862.0^Charlotte Douglas International Airport
NRT     ^16570.0^Narita International Airport
LED     ^15960.0^Pulkovo Airport
YVR     ^15920.0^Vancouver International Airport
CPT     ^15840.0^Cape Town International Airport
MSY     ^15820.0^Louis Armstrong New Orleans International Airport
HAM     ^15640.0^Hamburg Airport
PUJ     ^14960.0^Punta Cana International Airport
AKL     ^14940.0^Auckland International Airport
MAA     ^14940.0^Chennai International Airport
